id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;jumlah_bidan;tahun
1;32;JAWA BARAT;3201;KABUPATEN BOGOR;938;2016
2;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;984;2016
3;32;JAWA BARAT;3203;KABUPATEN CIANJUR;850;2016
4;32;JAWA BARAT;3204;KABUPATEN BANDUNG;581;2016
5;32;JAWA BARAT;3205;KABUPATEN GARUT;607;2016
6;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;623;2016
7;32;JAWA BARAT;3207;KABUPATEN CIAMIS;454;2016
8;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;669;2016
9;32;JAWA BARAT;3209;KABUPATEN CIREBON;915;2016
10;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;560;2016
11;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;479;2016
12;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;1057;2016
13;32;JAWA BARAT;3213;KABUPATEN SUBANG;922;2016
14;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;400;2016
15;32;JAWA BARAT;3215;KABUPATEN KARAWANG;1142;2016
16;32;JAWA BARAT;3216;KABUPATEN BEKASI;1039;2016
17;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;455;2016
18;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;91;2016
19;32;JAWA BARAT;3271;KOTA BOGOR;473;2016
20;32;JAWA BARAT;3272;KOTA SUKABUMI;318;2016
21;32;JAWA BARAT;3273;KOTA BANDUNG;877;2016
22;32;JAWA BARAT;3274;KOTA CIREBON;74;2016
23;32;JAWA BARAT;3275;KOTA BEKASI;383;2016
24;32;JAWA BARAT;3276;KOTA DEPOK;629;2016
25;32;JAWA BARAT;3277;KOTA CIMAHI;218;2016
26;32;JAWA BARAT;3278;KOTA TASIKMALAYA;328;2016
27;32;JAWA BARAT;3279;KOTA BANJAR;85;2016
28;32;JAWA BARAT;3201;KABUPATEN BOGOR;1696;2017
29;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;1058;2017
30;32;JAWA BARAT;3203;KABUPATEN CIANJUR;843;2017
31;32;JAWA BARAT;3204;KABUPATEN BANDUNG;687;2017
32;32;JAWA BARAT;3205;KABUPATEN GARUT;1158;2017
33;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;516;2017
34;32;JAWA BARAT;3207;KABUPATEN CIAMIS;334;2017
35;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;580;2017
36;32;JAWA BARAT;3209;KABUPATEN CIREBON;1493;2017
37;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;586;2017
38;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;453;2017
39;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;682;2017
40;32;JAWA BARAT;3213;KABUPATEN SUBANG;596;2017
41;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;516;2017
42;32;JAWA BARAT;3215;KABUPATEN KARAWANG;1385;2017
43;32;JAWA BARAT;3216;KABUPATEN BEKASI;824;2017
44;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;471;2017
45;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;129;2017
46;32;JAWA BARAT;3271;KOTA BOGOR;490;2017
47;32;JAWA BARAT;3272;KOTA SUKABUMI;304;2017
48;32;JAWA BARAT;3273;KOTA BANDUNG;347;2017
49;32;JAWA BARAT;3274;KOTA CIREBON;132;2017
50;32;JAWA BARAT;3275;KOTA BEKASI;499;2017
51;32;JAWA BARAT;3276;KOTA DEPOK;181;2017
